,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.013577938079833984,0.000674685672541418,0.0017667770385742187,0.00023623951755292186,1,10,"{'max_depth': 1, 'min_samples_split': 10}",0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.0,31
1,0.0127471923828125,0.0005004455067292474,0.0018443584442138672,0.0002272756365854453,1,60,"{'max_depth': 1, 'min_samples_split': 60}",0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.0,31
2,0.013352346420288087,0.0006201494180500699,0.0016049861907958985,0.00030319676362106486,1,110,"{'max_depth': 1, 'min_samples_split': 110}",0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.0,31
3,0.012950420379638672,0.0006527594175310573,0.001615619659423828,0.00022737221771694318,1,160,"{'max_depth': 1, 'min_samples_split': 160}",0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.0,31
4,0.014451122283935547,0.00045325183129879423,0.0017518043518066407,3.9345740705644007e-05,1,210,"{'max_depth': 1, 'min_samples_split': 210}",0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.0,31
5,0.01362471580505371,0.0008966415340709811,0.0018805980682373047,0.00016669755117165288,1,260,"{'max_depth': 1, 'min_samples_split': 260}",0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.0,31
6,0.014663267135620116,0.00047211366016309446,0.0018515586853027344,7.827089863911682e-05,1,310,"{'max_depth': 1, 'min_samples_split': 310}",0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.0,31
7,0.013402795791625977,0.0008777259659139858,0.0019395828247070312,0.0001826303372415519,1,360,"{'max_depth': 1, 'min_samples_split': 360}",0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.0,31
8,0.01475663185119629,0.0006010266604178354,0.0017680644989013672,4.0385151589431e-05,1,410,"{'max_depth': 1, 'min_samples_split': 410}",0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.0,31
9,0.014230155944824218,0.000283520036365698,0.0018569469451904298,9.827642750778475e-05,1,460,"{'max_depth': 1, 'min_samples_split': 460}",0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.0,31
10,0.06400060653686523,0.0034072262754561737,0.0018024444580078125,4.647535871018671e-05,6,10,"{'max_depth': 6, 'min_samples_split': 10}",0.6434426229508197,0.4959016393442623,0.6024590163934426,0.6967213114754098,0.7131147540983607,0.6303278688524591,0.07782138328798638,23
11,0.06362776756286621,0.00287284658750045,0.0018000602722167969,4.780301429378723e-05,6,60,"{'max_depth': 6, 'min_samples_split': 60}",0.639344262295082,0.4918032786885246,0.6024590163934426,0.6885245901639344,0.7377049180327869,0.6319672131147541,0.0836065573770492,19
12,0.05708169937133789,0.0027582301892701707,0.001885223388671875,0.00022846832273607212,6,110,"{'max_depth': 6, 'min_samples_split': 110}",0.639344262295082,0.4713114754098361,0.6270491803278688,0.6885245901639344,0.6967213114754098,0.6245901639344262,0.08125096902653287,30
13,0.05148172378540039,0.003104666696066922,0.0018756389617919922,0.00011501535647549247,6,160,"{'max_depth': 6, 'min_samples_split': 160}",0.639344262295082,0.47950819672131145,0.6434426229508197,0.680327868852459,0.7336065573770492,0.6352459016393442,0.08490632237756432,17
14,0.04631052017211914,0.002684326406776651,0.0018127918243408202,1.8902609238198345e-05,6,210,"{'max_depth': 6, 'min_samples_split': 210}",0.6516393442622951,0.5942622950819673,0.6434426229508197,0.6065573770491803,0.7336065573770492,0.6459016393442623,0.048878857429100225,10
15,0.039059782028198244,0.005471519476579871,0.0018847465515136718,9.083008172864254e-05,6,260,"{'max_depth': 6, 'min_samples_split': 260}",0.6434426229508197,0.5942622950819673,0.6434426229508197,0.5983606557377049,0.7295081967213115,0.6418032786885246,0.0486722388173886,12
16,0.034018659591674806,0.0029321958965643938,0.0026855945587158205,0.0014972925973913058,6,310,"{'max_depth': 6, 'min_samples_split': 310}",0.6680327868852459,0.5860655737704918,0.6434426229508197,0.5983606557377049,0.819672131147541,0.6631147540983606,0.08372701062691307,1
17,0.03232231140136719,0.004880428026755604,0.001840686798095703,0.00010491724366365272,6,360,"{'max_depth': 6, 'min_samples_split': 360}",0.6680327868852459,0.5860655737704918,0.6434426229508197,0.5983606557377049,0.8155737704918032,0.6622950819672131,0.08219640089653556,4
18,0.03265314102172852,0.005673720224114384,0.0018023014068603515,6.743236132158253e-05,6,410,"{'max_depth': 6, 'min_samples_split': 410}",0.6680327868852459,0.5860655737704918,0.6434426229508197,0.5983606557377049,0.8155737704918032,0.6622950819672131,0.08219640089653556,4
19,0.02785201072692871,0.004314508117368896,0.001763629913330078,1.5745304483647614e-05,6,460,"{'max_depth': 6, 'min_samples_split': 460}",0.5532786885245902,0.4959016393442623,0.5942622950819673,0.6926229508196722,0.8155737704918032,0.6303278688524591,0.11269821142489975,23
