,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.037738704681396486,0.002616073307657566,0.2829073429107666,0.011923368720825365,1,{'n_neighbors': 1},0.3901098901098901,0.6428571428571429,0.5384615384615384,0.49171270718232046,0.5303867403314917,0.5187224669603524,0.08157720292760501,9
1,0.035089111328125,0.003665267802978284,0.28892030715942385,0.010892669404232096,2,{'n_neighbors': 2},0.4835164835164835,0.5879120879120879,0.554945054945055,0.5082872928176796,0.569060773480663,0.5407488986784141,0.038892655022232714,3
2,0.028383159637451173,0.002325482103885607,0.2872128486633301,0.00796531509869168,3,{'n_neighbors': 3},0.4725274725274725,0.6153846153846154,0.5,0.4419889502762431,0.580110497237569,0.5220264317180616,0.0654586424743462,7
3,0.030768060684204103,0.001451690249286716,0.28375420570373533,0.008836638424543427,4,{'n_neighbors': 4},0.510989010989011,0.6098901098901099,0.5,0.4530386740331492,0.569060773480663,0.5286343612334802,0.05490999611033756,5
4,0.028615999221801757,0.002135417729344265,0.29053335189819335,0.008556470141954396,5,{'n_neighbors': 5},0.45054945054945056,0.6208791208791209,0.47802197802197804,0.4419889502762431,0.5303867403314917,0.5044052863436124,0.06596396059863989,10
5,0.028483152389526367,0.000833800500848698,0.2902356147766113,0.007117947005252544,6,{'n_neighbors': 6},0.5659340659340659,0.5989010989010989,0.4835164835164835,0.4696132596685083,0.5082872928176796,0.525330396475771,0.049422190134978936,6
6,0.02901735305786133,0.0015683727263348885,0.29008212089538576,0.005603515546528688,7,{'n_neighbors': 7},0.5879120879120879,0.6098901098901099,0.4725274725274725,0.43646408839779005,0.5027624309392266,0.5220264317180616,0.06664781695394767,7
7,0.02911539077758789,0.0006449264677830412,0.28798861503601075,0.005257346889220781,8,{'n_neighbors': 8},0.5879120879120879,0.6208791208791209,0.5,0.49171270718232046,0.5303867403314917,0.5462555066079295,0.050359509286792635,1
8,0.03032054901123047,0.004314674609132794,0.2892507553100586,0.0035410351375699104,9,{'n_neighbors': 9},0.5934065934065934,0.6098901098901099,0.5054945054945055,0.4696132596685083,0.49171270718232046,0.5341409691629956,0.05663466620830433,4
9,0.029193401336669922,0.002043344140397161,0.2412642002105713,0.04871193478886434,10,{'n_neighbors': 10},0.5879120879120879,0.6208791208791209,0.510989010989011,0.4972375690607735,0.5138121546961326,0.5462555066079295,0.04901106155587423,1
