,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.010016489028930663,0.0009188763440124457,0.16758079528808595,0.01367698038649682,1,{'n_neighbors': 1},0.5491803278688525,0.4262295081967213,0.46311475409836067,0.6639344262295082,0.75,0.5704918032786885,0.12144985461597003,1
1,0.012322664260864258,0.0012444159652805057,0.16130261421203612,0.0040731367906296605,2,{'n_neighbors': 2},0.48360655737704916,0.4262295081967213,0.4262295081967213,0.680327868852459,0.7950819672131147,0.5622950819672131,0.14922535800295444,2
2,0.011868572235107422,0.00044878457260991936,0.164727783203125,0.003082731648116076,3,{'n_neighbors': 3},0.4918032786885246,0.4344262295081967,0.4344262295081967,0.6721311475409836,0.7459016393442623,0.5557377049180328,0.12901962209803935,3
3,0.011852836608886719,0.001219038485820343,0.16823315620422363,0.007990554216583585,4,{'n_neighbors': 4},0.4426229508196721,0.4016393442622951,0.4180327868852459,0.6844262295081968,0.7663934426229508,0.5426229508196722,0.1520397902628316,4
4,0.01160116195678711,0.0012326697021974602,0.17179522514343262,0.004522016272283927,5,{'n_neighbors': 5},0.44672131147540983,0.38524590163934425,0.4016393442622951,0.6844262295081968,0.7336065573770492,0.530327868852459,0.1481000337428223,8
5,0.013279962539672851,0.0007985531454278455,0.17158055305480957,0.005717278590691399,6,{'n_neighbors': 6},0.4139344262295082,0.3975409836065574,0.4139344262295082,0.6762295081967213,0.7663934426229508,0.5336065573770492,0.15600494758518452,5
6,0.011612892150878906,0.0017191057726926534,0.16592741012573242,0.006697845644676027,7,{'n_neighbors': 7},0.4139344262295082,0.3975409836065574,0.4262295081967213,0.6885245901639344,0.7377049180327869,0.5327868852459017,0.14833574648240866,6
7,0.010978937149047852,0.00020037421368206606,0.17017269134521484,0.004562276844871187,8,{'n_neighbors': 8},0.4098360655737705,0.38934426229508196,0.42213114754098363,0.6598360655737705,0.7786885245901639,0.5319672131147541,0.15782467080038257,7
8,0.011243629455566406,0.001292251664130048,0.16741447448730468,0.00537869572294293,9,{'n_neighbors': 9},0.4057377049180328,0.36885245901639346,0.4344262295081967,0.6598360655737705,0.7459016393442623,0.5229508196721312,0.15084194418586844,10
9,0.010622596740722657,0.0029778365027308277,0.1363990306854248,0.03253232855373412,10,{'n_neighbors': 10},0.4057377049180328,0.38934426229508196,0.4180327868852459,0.6639344262295082,0.7745901639344263,0.530327868852459,0.1584449763634129,8
