,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.07802557945251465,0.003342956041919038,0.004218578338623047,0.003895109558971909,0.001,{'C': 0.001},0.6188524590163934,0.3442622950819672,0.4098360655737705,0.5983606557377049,0.5819672131147541,0.510655737704918,0.11165607346792014,5
1,0.07954511642456055,0.0011907783947526572,0.0027619361877441405,0.0005488499798686313,0.01,{'C': 0.01},0.5368852459016393,0.5901639344262295,0.4098360655737705,0.5901639344262295,0.5860655737704918,0.5426229508196722,0.06938707355760101,4
2,0.07545609474182129,0.002737559473772665,0.002030181884765625,0.00019265020231161984,0.1,{'C': 0.1},0.6188524590163934,0.6065573770491803,0.6024590163934426,0.6024590163934426,0.5286885245901639,0.5918032786885246,0.03212445564305807,1
3,0.07223472595214844,0.0016370632424804405,0.0021031856536865234,0.0003847806004039373,1,{'C': 1},0.4098360655737705,0.5901639344262295,0.6147540983606558,0.5901639344262295,0.5942622950819673,0.5598360655737705,0.07555225325772401,3
4,0.07169957160949707,0.0017463840240815253,0.00206146240234375,0.00027229174574607684,10,{'C': 10},0.6065573770491803,0.5901639344262295,0.5901639344262295,0.5737704918032787,0.5942622950819673,0.590983606557377,0.010496924979398128,2
