,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.11496195793151856,0.005930851737016239,0.003074026107788086,0.0009136112049452416,1,10,"{'max_depth': 1, 'min_samples_split': 10}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
1,0.1083153247833252,0.0017443856495274552,0.0023548126220703123,0.0002874078130990485,1,60,"{'max_depth': 1, 'min_samples_split': 60}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
2,0.1098794937133789,0.001991861668732481,0.0023566246032714843,0.0004078763037835843,1,110,"{'max_depth': 1, 'min_samples_split': 110}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
3,0.10443301200866699,0.002010675120287838,0.0021796226501464844,0.00022868008463766738,1,160,"{'max_depth': 1, 'min_samples_split': 160}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
4,0.10525698661804199,0.0008492968751834511,0.0021117687225341796,9.298710937298407e-05,1,210,"{'max_depth': 1, 'min_samples_split': 210}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
5,0.10431547164916992,0.0019505648707302413,0.0019832134246826174,0.0003118142199031767,1,260,"{'max_depth': 1, 'min_samples_split': 260}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
6,0.10159268379211425,0.0016331911057451778,0.00208897590637207,0.00014845200554716124,1,310,"{'max_depth': 1, 'min_samples_split': 310}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
7,0.10482730865478515,0.004213244654506636,0.0020265579223632812,7.680853513697434e-05,1,360,"{'max_depth': 1, 'min_samples_split': 360}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
8,0.10498366355895997,0.0017437292665584431,0.0020777702331542967,0.00021541106879015257,1,410,"{'max_depth': 1, 'min_samples_split': 410}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
9,0.1077807903289795,0.004688861412880519,0.0022112846374511717,0.0002894145602327076,1,460,"{'max_depth': 1, 'min_samples_split': 460}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
10,0.5850556850433349,0.013701387037754033,0.0019919872283935547,4.0585817618331836e-05,6,10,"{'max_depth': 6, 'min_samples_split': 10}",0.12440191387559808,0.11557788944723618,0.10362694300518134,0.11702127659574468,0.11538461538461539,0.11534500514933059,0.006745674863606224,8
11,0.5041317939758301,0.02351894445301442,0.0029073715209960937,0.0018449048200975626,6,60,"{'max_depth': 6, 'min_samples_split': 60}",0.15311004784688995,0.1306532663316583,0.10362694300518134,0.11170212765957446,0.0989010989010989,0.12049433573635428,0.02022460126015977,6
12,0.44487953186035156,0.014750306989249663,0.00199127197265625,1.5129344964958058e-05,6,110,"{'max_depth': 6, 'min_samples_split': 110}",0.15789473684210525,0.11557788944723618,0.08808290155440414,0.09574468085106383,0.1043956043956044,0.11328527291452112,0.025100576630988417,9
13,0.38660573959350586,0.03985561886958364,0.0020175933837890624,5.704547033169297e-05,6,160,"{'max_depth': 6, 'min_samples_split': 160}",0.16267942583732056,0.10050251256281408,0.10880829015544041,0.0797872340425532,0.06593406593406594,0.10504634397528322,0.03364892714485292,12
14,0.3301431655883789,0.030885899116099114,0.0020216941833496095,8.474385070212961e-05,6,210,"{'max_depth': 6, 'min_samples_split': 210}",0.14354066985645933,0.09045226130653267,0.09844559585492228,0.05851063829787234,0.07142857142857142,0.0937178166838311,0.029564192095294293,15
15,0.27909178733825685,0.020530423551356095,0.00198216438293457,3.4518333771666715e-05,6,260,"{'max_depth': 6, 'min_samples_split': 260}",0.11961722488038277,0.09045226130653267,0.08290155440414508,0.06382978723404255,0.07692307692307693,0.08753861997940268,0.018906622444839757,16
16,0.2871788501739502,0.11911182759891012,0.0020359039306640627,0.00012744996476712474,6,310,"{'max_depth': 6, 'min_samples_split': 310}",0.10526315789473684,0.07537688442211055,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.08032955715756952,0.01441231263471084,22
17,0.32401838302612307,0.12848269091514042,0.003926515579223633,0.0022706765228270383,6,360,"{'max_depth': 6, 'min_samples_split': 360}",0.10526315789473684,0.07537688442211055,0.09326424870466321,0.05851063829787234,0.07142857142857142,0.08135942327497425,0.016675037549150118,19
18,0.30872063636779784,0.11538040135611241,0.002289295196533203,0.000229832591833683,6,410,"{'max_depth': 6, 'min_samples_split': 410}",0.09569377990430622,0.07537688442211055,0.09326424870466321,0.05851063829787234,0.07142857142857142,0.07929969104016478,0.013966178834710194,25
19,0.39075493812561035,0.10936882006429736,0.0028120040893554687,0.001034839451423522,6,460,"{'max_depth': 6, 'min_samples_split': 460}",0.09569377990430622,0.07537688442211055,0.09326424870466321,0.05851063829787234,0.07142857142857142,0.07929969104016478,0.013966178834710194,25
