,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,accuracy,macro avg,weighted avg
f1-score,0.5,0.3636363636363636,0.7272727272727273,0.25,0.42857142857142855,0.5882352941176471,0.8571428571428571,0.5,0.4166666666666667,0.625,0.8,0.75,0.16666666666666666,0.16666666666666666,0.7000000000000001,0.5,0.23809523809523808,0.45454545454545453,0.30769230769230765,0.47058823529411764,0.1818181818181818,0.6666666666666666,0.28571428571428575,0.19999999999999998,0.26666666666666666,0.42857142857142855,0.5,0.5263157894736842,0.3333333333333333,0.2,0.43621399176954734,0.446662208620413,0.4285134764838927
precision,0.5,0.4,0.5714285714285714,0.16666666666666666,0.2727272727272727,0.5555555555555556,0.75,0.375,0.625,0.8333333333333334,0.6666666666666666,0.75,0.2,0.125,0.7777777777777778,0.42857142857142855,0.7142857142857143,0.625,0.3333333333333333,0.4444444444444444,0.2,0.7142857142857143,0.25,0.1111111111111111,0.25,0.42857142857142855,0.4,0.4166666666666667,0.3333333333333333,0.125,0.43621399176954734,0.4447919672919673,0.5150660039548929
recall,0.5,0.3333333333333333,1.0,0.5,1.0,0.625,1.0,0.75,0.3125,0.5,1.0,0.75,0.14285714285714285,0.25,0.6363636363636364,0.6,0.14285714285714285,0.35714285714285715,0.2857142857142857,0.5,0.16666666666666666,0.625,0.3333333333333333,1.0,0.2857142857142857,0.42857142857142855,0.6666666666666666,0.7142857142857143,0.3333333333333333,0.5,0.43621399176954734,0.5413113275613275,0.43621399176954734
support,6.0,12.0,4.0,2.0,3.0,8.0,6.0,4.0,16.0,10.0,4.0,8.0,14.0,4.0,11.0,5.0,35.0,14.0,7.0,8.0,6.0,8.0,6.0,1.0,7.0,7.0,6.0,7.0,12.0,2.0,0.43621399176954734,243.0,243.0
