,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,accuracy,macro avg,weighted avg
f1-score,0.6666666666666666,0.3157894736842105,0.6666666666666666,0.0,0.8181818181818182,0.6666666666666667,1.0,0.4166666666666667,0.3333333333333333,0.7692307692307692,0.45454545454545453,0.5454545454545454,0.380952380952381,0.4761904761904762,0.3555555555555555,0.7142857142857143,0.6,0.25,0.0,0.6666666666666667,0.7499999999999999,0.6,0.0,0.5555555555555556,0.2,0.7142857142857143,0.7,0.7692307692307692,0.7272727272727272,0.380952380952381,0.5349794238683128,0.5164716667348245,0.5427754578826703
precision,0.5,0.3,0.5714285714285714,0.0,0.8181818181818182,0.5555555555555556,1.0,0.625,0.25,0.8333333333333334,0.8333333333333334,0.375,0.4,0.625,0.8888888888888888,0.7142857142857143,0.42857142857142855,0.25,0.0,0.5555555555555556,0.6,0.42857142857142855,0.0,0.5555555555555556,0.125,0.7142857142857143,0.7,0.8333333333333334,0.6666666666666666,0.5,0.5349794238683128,0.5215848965848966,0.6584166176758769
recall,1.0,0.3333333333333333,0.8,0.0,0.8181818181818182,0.8333333333333334,1.0,0.3125,0.5,0.7142857142857143,0.3125,1.0,0.36363636363636365,0.38461538461538464,0.2222222222222222,0.7142857142857143,1.0,0.25,0.0,0.8333333333333334,1.0,1.0,0.0,0.5555555555555556,0.5,0.7142857142857143,0.7,0.7142857142857143,0.8,0.3076923076923077,0.5349794238683128,0.5894682169682169,0.5349794238683128
support,3.0,9.0,5.0,0.0,11.0,6.0,8.0,16.0,4.0,7.0,16.0,3.0,11.0,13.0,36.0,7.0,3.0,8.0,0.0,6.0,3.0,3.0,0.0,9.0,2.0,7.0,10.0,14.0,10.0,13.0,0.5349794238683128,243.0,243.0
