,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,accuracy,macro avg,weighted avg
f1-score,0.5,0.28571428571428575,0.22222222222222224,0.7272727272727272,0.7058823529411764,0.42857142857142855,0.7692307692307693,0.3720930232558139,0.4444444444444445,0.4,0.5,0.5,0.5333333333333333,0.4,0.3636363636363636,0.5454545454545454,0.7058823529411764,0.4,0.6,0.631578947368421,0.6666666666666665,0.0,0.2727272727272727,0.2285714285714286,0.5454545454545454,0.2857142857142857,0.4285714285714285,0.28571428571428575,0.35294117647058826,0.36363636363636365,0.4279835390946502,0.44884380833045245,0.41428576004370515
precision,0.8333333333333334,0.2,0.14285714285714285,0.6666666666666666,0.5454545454545454,0.3333333333333333,0.625,1.0,0.5,0.5,0.3333333333333333,0.375,0.4,0.25,0.2222222222222222,0.42857142857142855,0.8571428571428571,0.25,0.5,0.6666666666666666,0.6,0.0,0.375,0.4444444444444444,0.375,0.8571428571428571,0.3,0.25,0.25,0.25,0.4279835390946502,0.44437229437229436,0.6131446742557853
recall,0.35714285714285715,0.5,0.5,0.8,1.0,0.6,1.0,0.22857142857142856,0.4,0.3333333333333333,1.0,0.75,0.8,1.0,1.0,0.75,0.6,1.0,0.75,0.6,0.75,0.0,0.21428571428571427,0.15384615384615385,1.0,0.17142857142857143,0.75,0.3333333333333333,0.6,0.6666666666666666,0.4279835390946502,0.6202869352869353,0.4279835390946502
support,14.0,4.0,2.0,5.0,6.0,5.0,5.0,35.0,10.0,9.0,2.0,4.0,5.0,2.0,2.0,4.0,10.0,2.0,4.0,10.0,4.0,0.0,14.0,26.0,3.0,35.0,4.0,9.0,5.0,3.0,0.4279835390946502,243.0,243.0
