,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,accuracy,macro avg,weighted avg
f1-score,0.5454545454545454,0.4444444444444445,0.6666666666666666,0.6153846153846153,0.5555555555555556,0.8750000000000001,0.9333333333333333,0.8421052631578948,0.625,0.8333333333333334,0.7692307692307692,0.8571428571428571,0.5714285714285715,0.9333333333333333,0.823529411764706,0.4615384615384615,0.923076923076923,0.5,0.8,0.8750000000000001,1.0,0.7999999999999999,0.5333333333333333,0.631578947368421,1.0,0.8333333333333333,0.8235294117647058,0.7407407407407408,0.8571428571428571,0.6153846153846154,0.7242798353909465,0.7428533774638006,0.7102242676851857
precision,0.5,1.0,0.7142857142857143,0.6666666666666666,0.45454545454545453,0.7777777777777778,0.875,1.0,0.625,0.8333333333333334,0.8333333333333334,0.75,0.4,0.875,0.7777777777777778,0.42857142857142855,0.8571428571428571,0.5,0.6666666666666666,0.7777777777777778,1.0,0.8571428571428571,0.5,0.6666666666666666,1.0,0.7142857142857143,0.7,0.8333333333333334,0.75,0.5,0.7242798353909465,0.7278102453102453,0.7735942612485822
recall,0.6,0.2857142857142857,0.625,0.5714285714285714,0.7142857142857143,1.0,1.0,0.7272727272727273,0.625,0.8333333333333334,0.7142857142857143,1.0,1.0,1.0,0.875,0.5,1.0,0.5,1.0,1.0,1.0,0.75,0.5714285714285714,0.6,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,0.7242798353909465,0.7986471861471862,0.7242798353909465
support,5.0,35.0,8.0,7.0,7.0,7.0,7.0,11.0,8.0,6.0,7.0,6.0,4.0,7.0,8.0,6.0,6.0,8.0,4.0,7.0,5.0,8.0,7.0,10.0,8.0,5.0,7.0,15.0,9.0,5.0,0.7242798353909465,243.0,243.0
