,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.01448216438293457,0.002297743752598051,0.07497844696044922,0.01195970529116266,1,{'n_neighbors': 1},0.22009569377990432,0.2562814070351759,0.23834196891191708,0.18617021276595744,0.2087912087912088,0.22245108135942326,0.023995237466375198,1
1,0.018912315368652344,0.0034991609405521677,0.09728283882141113,0.0048173424950443775,2,{'n_neighbors': 2},0.18181818181818182,0.20603015075376885,0.22279792746113988,0.1702127659574468,0.2032967032967033,0.19670442842430483,0.018570950438910556,2
2,0.021646642684936525,0.0005971947404557905,0.10148725509643555,0.004453727357634732,3,{'n_neighbors': 3},0.17703349282296652,0.20603015075376885,0.19689119170984457,0.14361702127659576,0.18681318681318682,0.1822863027806385,0.021383002245659862,4
3,0.02384915351867676,0.005575128370147267,0.11008048057556152,0.013122091873284537,4,{'n_neighbors': 4},0.18181818181818182,0.21105527638190955,0.19689119170984457,0.14361702127659576,0.18681318681318682,0.184346035015448,0.022387042478025632,3
4,0.02178668975830078,0.0005994540843847834,0.11309494972229003,0.006711512788465948,5,{'n_neighbors': 5},0.15789473684210525,0.23115577889447236,0.18134715025906736,0.13829787234042554,0.18681318681318682,0.1791967044284243,0.031410521664269955,5
5,0.021544694900512695,0.0007174551684794475,0.11032729148864746,0.006607445089787894,6,{'n_neighbors': 6},0.15311004784688995,0.22110552763819097,0.18652849740932642,0.14361702127659576,0.19230769230769232,0.1791967044284243,0.02818565945981162,5
6,0.02198824882507324,0.0035193726178201425,0.11099820137023926,0.01040367615641298,7,{'n_neighbors': 7},0.15311004784688995,0.22613065326633167,0.17616580310880828,0.12234042553191489,0.17582417582417584,0.1709577754891864,0.034057123458649044,8
7,0.021038532257080078,0.0016466271416945327,0.11072912216186523,0.008235201190098776,8,{'n_neighbors': 8},0.14832535885167464,0.22613065326633167,0.17616580310880828,0.13829787234042554,0.17582417582417584,0.17301750772399588,0.03076069282625286,7
8,0.02002873420715332,0.0015754513647075333,0.10802421569824219,0.011862055717230929,9,{'n_neighbors': 9},0.13875598086124402,0.23115577889447236,0.17098445595854922,0.1276595744680851,0.17032967032967034,0.1678681771369722,0.036323200390280405,9
9,0.017798662185668945,0.004235320307273799,0.08631720542907714,0.016173717790645255,10,{'n_neighbors': 10},0.12440191387559808,0.22110552763819097,0.17616580310880828,0.1276595744680851,0.16483516483516483,0.1627188465499485,0.035908644526675026,10
