,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.13115062713623046,0.006974069254510363,0.0031891822814941405,0.000993593626863524,1,10,"{'max_depth': 1, 'min_samples_split': 10}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
1,0.1249361515045166,0.0041798196768021234,0.0027982234954833985,0.001337268124073167,1,60,"{'max_depth': 1, 'min_samples_split': 60}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
2,0.12361855506896972,0.0028668759415085795,0.0021590709686279295,0.00024162460998980968,1,110,"{'max_depth': 1, 'min_samples_split': 110}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
3,0.12147283554077148,0.00765990047191547,0.0031603336334228515,0.0011009849429678652,1,160,"{'max_depth': 1, 'min_samples_split': 160}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
4,0.1280841827392578,0.016576018548072908,0.002481842041015625,0.0005376683433475945,1,210,"{'max_depth': 1, 'min_samples_split': 210}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
5,0.1198812484741211,0.01566285828275225,0.0019911766052246095,0.00023451502016466828,1,260,"{'max_depth': 1, 'min_samples_split': 260}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
6,0.11273460388183594,0.008443971116673797,0.0020150184631347657,0.00033035685088536403,1,310,"{'max_depth': 1, 'min_samples_split': 310}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
7,0.10656576156616211,0.004578551951944044,0.002075815200805664,4.5547958592012276e-05,1,360,"{'max_depth': 1, 'min_samples_split': 360}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
8,0.10568161010742187,0.004606637435655022,0.002041053771972656,0.00014831578106014404,1,410,"{'max_depth': 1, 'min_samples_split': 410}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
9,0.10370988845825195,0.004272350559447951,0.002035093307495117,0.00027290850698097633,1,460,"{'max_depth': 1, 'min_samples_split': 460}",0.07655502392344497,0.07035175879396985,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.07312049433573635,0.006354094335917533,31
10,0.5636724948883056,0.01077627586662615,0.0020752906799316405,0.00017321693747928972,6,10,"{'max_depth': 6, 'min_samples_split': 10}",0.12440191387559808,0.11055276381909548,0.10362694300518134,0.11702127659574468,0.11538461538461539,0.11431513903192585,0.007009923856252485,8
11,0.48969340324401855,0.012419362301748811,0.002029609680175781,4.492565260946591e-05,6,60,"{'max_depth': 6, 'min_samples_split': 60}",0.15311004784688995,0.1306532663316583,0.10362694300518134,0.11170212765957446,0.09340659340659341,0.11946446961894953,0.021403475486864606,6
12,0.442134952545166,0.030262883199225783,0.001991748809814453,3.184544028918275e-05,6,110,"{'max_depth': 6, 'min_samples_split': 110}",0.15789473684210525,0.11557788944723618,0.08808290155440414,0.09574468085106383,0.1043956043956044,0.11328527291452112,0.025100576630988417,9
13,0.3773754596710205,0.040834956131565646,0.001994800567626953,5.719967305621078e-05,6,160,"{'max_depth': 6, 'min_samples_split': 160}",0.16267942583732056,0.10050251256281408,0.10880829015544041,0.0797872340425532,0.06593406593406594,0.10504634397528322,0.03364892714485292,12
14,0.33186922073364256,0.026628586433747874,0.0021520137786865236,0.0001535757245987823,6,210,"{'max_depth': 6, 'min_samples_split': 210}",0.14354066985645933,0.09045226130653267,0.09844559585492228,0.05851063829787234,0.07142857142857142,0.0937178166838311,0.029564192095294293,15
15,0.28948392868041994,0.028205198103818104,0.0020501136779785155,0.00011849738218001536,6,260,"{'max_depth': 6, 'min_samples_split': 260}",0.11961722488038277,0.09045226130653267,0.08290155440414508,0.06382978723404255,0.07692307692307693,0.08753861997940268,0.018906622444839757,16
16,0.24317655563354493,0.035780931002554396,0.002089834213256836,0.00028172980757854965,6,310,"{'max_depth': 6, 'min_samples_split': 310}",0.10526315789473684,0.07537688442211055,0.08290155440414508,0.06382978723404255,0.07142857142857142,0.08032955715756952,0.01441231263471084,22
17,0.21401762962341309,0.031747247303551385,0.0019688129425048826,2.833889406121053e-05,6,360,"{'max_depth': 6, 'min_samples_split': 360}",0.10526315789473684,0.07537688442211055,0.09326424870466321,0.05851063829787234,0.07142857142857142,0.08135942327497425,0.016675037549150118,19
18,0.20146703720092773,0.03149845830543882,0.002124452590942383,0.0002849202613172031,6,410,"{'max_depth': 6, 'min_samples_split': 410}",0.09569377990430622,0.07537688442211055,0.09326424870466321,0.05851063829787234,0.07142857142857142,0.07929969104016478,0.013966178834710194,25
19,0.2082122802734375,0.035600176443601805,0.003093910217285156,0.001622603909716517,6,460,"{'max_depth': 6, 'min_samples_split': 460}",0.09569377990430622,0.07537688442211055,0.09326424870466321,0.05851063829787234,0.07142857142857142,0.07929969104016478,0.013966178834710194,25
