,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.029812192916870116,0.001447259224617876,0.12429733276367187,0.007919606745252895,1,{'n_neighbors': 1},0.10047846889952153,0.1457286432160804,0.09326424870466321,0.1276595744680851,0.07692307692307693,0.10916580844490216,0.024526665239343767,2
1,0.029705333709716796,0.0013154789157978602,0.1327157974243164,0.010059102694739022,2,{'n_neighbors': 2},0.09090909090909091,0.12060301507537688,0.11398963730569948,0.07446808510638298,0.0989010989010989,0.09989701338825953,0.01643511672130044,9
2,0.02888493537902832,0.0006458143720302407,0.13595104217529297,0.01087519950456417,3,{'n_neighbors': 3},0.09090909090909091,0.11055276381909548,0.12435233160621761,0.07446808510638298,0.0989010989010989,0.09989701338825953,0.016879416129332386,9
3,0.02877488136291504,0.0007799971669544702,0.13682136535644532,0.007835883441623207,4,{'n_neighbors': 4},0.0861244019138756,0.11557788944723618,0.12435233160621761,0.07446808510638298,0.1043956043956044,0.10092687950566426,0.018385452252179187,7
4,0.04077482223510742,0.014695222772690916,0.1992279052734375,0.06373147468587512,5,{'n_neighbors': 5},0.10526315789473684,0.12060301507537688,0.09844559585492228,0.09574468085106383,0.0989010989010989,0.10401647785787847,0.009002112615646438,4
5,0.033252811431884764,0.007115456831743783,0.1808326244354248,0.04027539528506917,6,{'n_neighbors': 6},0.09569377990430622,0.11557788944723618,0.09844559585492228,0.09042553191489362,0.10989010989010989,0.101956745623069,0.0092983393469677,6
6,0.04773421287536621,0.01975028178766859,0.21433753967285157,0.08564557485294906,7,{'n_neighbors': 7},0.10526315789473684,0.12562814070351758,0.10880829015544041,0.10106382978723404,0.10989010989010989,0.1101956745623069,0.00840190688284371,1
7,0.04074783325195312,0.012933231074630262,0.21024270057678224,0.054144244887932035,8,{'n_neighbors': 8},0.0861244019138756,0.11557788944723618,0.11917098445595854,0.12234042553191489,0.0989010989010989,0.10813594232749743,0.013960329158218326,3
8,0.03258500099182129,0.0031245818263748227,0.15553245544433594,0.010446945492476488,9,{'n_neighbors': 9},0.0861244019138756,0.10050251256281408,0.11917098445595854,0.11170212765957446,0.08791208791208792,0.10092687950566426,0.012945501868313726,7
9,0.03343863487243652,0.00406615441974674,0.15272831916809082,0.014635585170240831,10,{'n_neighbors': 10},0.07655502392344497,0.12060301507537688,0.12435233160621761,0.10638297872340426,0.09340659340659341,0.10401647785787847,0.017974581602862857,4
