,negative,positive,micro avg,macro avg,weighted avg
precision,0.15384615384615385,0.07142857142857142,0.1111111111111111,0.11263736263736265,0.10233516483516483
recall,0.3333333333333333,0.1,0.1875,0.21666666666666667,0.1875
f1-score,0.21052631578947367,0.08333333333333333,0.13953488372093026,0.1469298245614035,0.13103070175438594
support,6.0,10.0,16.0,16.0,16.0
precision,0.2222222222222222,0.17647058823529413,0.19230769230769232,0.19934640522875816,0.19362745098039216
recall,0.3333333333333333,0.3,0.3125,0.31666666666666665,0.3125
f1-score,0.26666666666666666,0.22222222222222224,0.2380952380952381,0.2444444444444445,0.2388888888888889
support,6.0,10.0,16.0,16.0,16.0
precision,0.3333333333333333,0.2,0.25,0.26666666666666666,0.25
recall,0.3333333333333333,0.2,0.25,0.26666666666666666,0.25
f1-score,0.3333333333333333,0.20000000000000004,0.25,0.26666666666666666,0.25
support,6.0,10.0,16.0,16.0,16.0
precision,0.2,0.125,0.15384615384615385,0.1625,0.153125
recall,0.16666666666666666,0.1,0.125,0.13333333333333333,0.125
f1-score,0.1818181818181818,0.11111111111111112,0.13793103448275862,0.14646464646464644,0.13762626262626262
support,6.0,10.0,16.0,16.0,16.0
precision,0.3333333333333333,0.14285714285714285,0.23076923076923078,0.23809523809523808,0.21428571428571427
recall,0.3333333333333333,0.1,0.1875,0.21666666666666667,0.1875
f1-score,0.3333333333333333,0.11764705882352941,0.20689655172413793,0.22549019607843135,0.1985294117647059
support,6.0,10.0,16.0,16.0,16.0
