,negative,positive,micro avg,macro avg,weighted avg
precision,0.2307692307692308,0.0,0.14285714285714285,0.1153846153846154,0.08653846153846154
recall,0.5,0.0,0.1875,0.25,0.1875
f1-score,0.3157894736842105,0.0,0.16216216216216214,0.15789473684210525,0.11842105263157895
support,6.0,10.0,16.0,16.0,16.0
precision,0.0,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.0,0.0,0.0
f1-score,0.0,0.0,0.0,0.0,0.0
support,6.0,10.0,16.0,16.0,16.0
precision,0.2857142857142857,0.0,0.18181818181818185,0.14285714285714285,0.10714285714285714
recall,0.3333333333333333,0.0,0.125,0.16666666666666666,0.125
f1-score,0.30769230769230765,0.0,0.14814814814814814,0.15384615384615385,0.11538461538461535
support,6.0,10.0,16.0,16.0,16.0
precision,0.16666666666666666,0.06896551724137931,0.07526881720430108,0.11781609195402297,0.10560344827586207
recall,0.16666666666666666,0.6,0.4375,0.3833333333333333,0.4375
f1-score,0.16666666666666666,0.12371134020618554,0.12844036697247704,0.1451890034364261,0.13981958762886598
support,6.0,10.0,16.0,16.0,16.0
precision,0.16666666666666666,0.061224489795918366,0.07272727272727272,0.1139455782312925,0.10076530612244898
recall,0.16666666666666666,0.3,0.25,0.23333333333333334,0.25
f1-score,0.16666666666666666,0.10169491525423728,0.11267605633802816,0.13418079096045196,0.1260593220338983
support,6.0,10.0,16.0,16.0,16.0
