,negative,positive,micro avg,macro avg,weighted avg
precision,0.2857142857142857,0.1111111111111111,0.14705882352941174,0.1984126984126984,0.17658730158730154
recall,0.3333333333333333,0.3,0.3125,0.31666666666666665,0.3125
f1-score,0.30769230769230765,0.16216216216216214,0.2,0.2349272349272349,0.2167359667359668
support,6.0,10.0,16.0,16.0,16.0
precision,0.14285714285714285,0.07142857142857142,0.09523809523809523,0.10714285714285714,0.0982142857142857
recall,0.3333333333333333,0.2,0.25,0.26666666666666666,0.25
f1-score,0.2,0.10526315789473682,0.13793103448275862,0.15263157894736842,0.14078947368421052
support,6.0,10.0,16.0,16.0,16.0
precision,0.15384615384615385,0.13333333333333333,0.14285714285714285,0.14358974358974358,0.14102564102564102
recall,0.3333333333333333,0.2,0.25,0.26666666666666666,0.25
f1-score,0.21052631578947367,0.16,0.18181818181818185,0.18526315789473685,0.17894736842105266
support,6.0,10.0,16.0,16.0,16.0
precision,0.2,0.06451612903225806,0.0975609756097561,0.13225806451612904,0.1153225806451613
recall,0.3333333333333333,0.2,0.25,0.26666666666666666,0.25
f1-score,0.25,0.0975609756097561,0.14035087719298248,0.17378048780487804,0.15472560975609756
support,6.0,10.0,16.0,16.0,16.0
precision,0.36363636363636365,0.125,0.18604651162790697,0.24431818181818182,0.21448863636363635
recall,0.6666666666666666,0.4,0.5,0.5333333333333333,0.5
f1-score,0.4705882352941177,0.19047619047619047,0.2711864406779661,0.3305322128851541,0.29551820728291317
support,6.0,10.0,16.0,16.0,16.0
