,negative,positive,micro avg,macro avg,weighted avg
precision,0.2857142857142857,0.0,0.125,0.14285714285714285,0.10714285714285714
recall,0.3333333333333333,0.0,0.125,0.16666666666666666,0.125
f1-score,0.30769230769230765,0.0,0.125,0.15384615384615385,0.11538461538461535
support,6.0,10.0,16.0,16.0,16.0
precision,0.2222222222222222,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.1527777777777778
recall,0.3333333333333333,0.1,0.1875,0.21666666666666667,0.1875
f1-score,0.26666666666666666,0.10526315789473684,0.17647058823529413,0.18596491228070167,0.16578947368421054
support,6.0,10.0,16.0,16.0,16.0
precision,0.1111111111111111,0.0625,0.08,0.08680555555555555,0.08072916666666666
recall,0.16666666666666666,0.1,0.125,0.13333333333333333,0.125
f1-score,0.13333333333333333,0.07692307692307693,0.09756097560975607,0.10512820512820513,0.09807692307692308
support,6.0,10.0,16.0,16.0,16.0
precision,0.3333333333333333,0.125,0.18181818181818185,0.22916666666666666,0.203125
recall,0.16666666666666666,0.1,0.125,0.13333333333333333,0.125
f1-score,0.2222222222222222,0.11111111111111112,0.14814814814814814,0.16666666666666666,0.1527777777777778
support,6.0,10.0,16.0,16.0,16.0
precision,0.2,0.2222222222222222,0.21428571428571427,0.2111111111111111,0.2138888888888889
recall,0.16666666666666666,0.2,0.1875,0.18333333333333335,0.1875
f1-score,0.1818181818181818,0.2105263157894737,0.19999999999999998,0.19617224880382775,0.19976076555023925
support,6.0,10.0,16.0,16.0,16.0
