,negative,positive,micro avg,macro avg,weighted avg
precision,0.0,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.0,0.0,0.0
f1-score,0.0,0.0,0.0,0.0,0.0
support,6.0,10.0,16.0,16.0,16.0
precision,0.0,0.1111111111111111,0.0625,0.05555555555555555,0.06944444444444445
recall,0.0,0.1,0.0625,0.05,0.0625
f1-score,0.0,0.10526315789473684,0.0625,0.052631578947368425,0.06578947368421054
support,6.0,10.0,16.0,16.0,16.0
precision,0.0,0.1111111111111111,0.07142857142857142,0.05555555555555555,0.06944444444444445
recall,0.0,0.1,0.0625,0.05,0.0625
f1-score,0.0,0.10526315789473684,0.06666666666666668,0.052631578947368425,0.06578947368421054
support,6.0,10.0,16.0,16.0,16.0
precision,0.0,0.2727272727272727,0.16666666666666666,0.13636363636363635,0.17045454545454544
recall,0.0,0.3,0.1875,0.15,0.1875
f1-score,0.0,0.28571428571428564,0.17647058823529413,0.14285714285714282,0.17857142857142852
support,6.0,10.0,16.0,16.0,16.0
precision,0.2,0.125,0.14285714285714285,0.1625,0.153125
recall,0.16666666666666666,0.2,0.1875,0.18333333333333335,0.1875
f1-score,0.1818181818181818,0.15384615384615385,0.16216216216216214,0.1678321678321678,0.16433566433566432
support,6.0,10.0,16.0,16.0,16.0
