,negative,positive,micro avg,macro avg,weighted avg
precision,0.14285714285714285,0.0,0.0625,0.07142857142857142,0.05357142857142857
recall,0.16666666666666666,0.0,0.0625,0.08333333333333333,0.0625
f1-score,0.15384615384615385,0.0,0.0625,0.07692307692307691,0.057692307692307675
support,6.0,10.0,16.0,16.0,16.0
precision,0.0,0.125,0.09090909090909093,0.0625,0.078125
recall,0.0,0.1,0.0625,0.05,0.0625
f1-score,0.0,0.11111111111111112,0.07407407407407407,0.05555555555555556,0.06944444444444445
support,6.0,10.0,16.0,16.0,16.0
precision,0.3333333333333333,0.18181818181818185,0.21428571428571427,0.2575757575757576,0.23863636363636365
recall,0.3333333333333333,0.4,0.375,0.3666666666666667,0.375
f1-score,0.3333333333333333,0.2500000000000001,0.2727272727272727,0.2916666666666667,0.28125
support,6.0,10.0,16.0,16.0,16.0
precision,1.0,0.25,0.3076923076923077,0.625,0.53125
recall,0.16666666666666666,0.3,0.25,0.2333333333333333,0.25
f1-score,0.2857142857142857,0.2727272727272727,0.27586206896551724,0.2792207792207792,0.27759740259740256
support,6.0,10.0,16.0,16.0,16.0
precision,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.23214285714285712
recall,0.16666666666666666,0.2,0.1875,0.18333333333333335,0.1875
f1-score,0.15384615384615383,0.23529411764705882,0.19999999999999998,0.1945701357466063,0.20475113122171945
support,6.0,10.0,16.0,16.0,16.0
