,negative,positive,micro avg,macro avg,weighted avg
precision,0.2,0.1111111111111111,0.13043478260869565,0.15555555555555556,0.14444444444444446
recall,0.16666666666666666,0.2,0.1875,0.18333333333333326,0.1875
f1-score,0.1818181818181818,0.14285714285714285,0.15384615384615385,0.16233766233766234,0.15746753246753245
support,6.0,10.0,16.0,16.0,16.0
precision,0.4,0.0,0.09523809523809523,0.2,0.15000000000000002
recall,0.3333333333333333,0.0,0.125,0.16666666666666666,0.125
f1-score,0.3636363636363636,0.0,0.1081081081081081,0.1818181818181818,0.13636363636363635
support,6.0,10.0,16.0,16.0,16.0
precision,0.5,0.3076923076923077,0.35294117647058826,0.40384615384615385,0.3798076923076923
recall,0.3333333333333333,0.4,0.375,0.3666666666666667,0.375
f1-score,0.4,0.3478260869565217,0.3636363636363636,0.3739130434782609,0.3673913043478261
support,6.0,10.0,16.0,16.0,16.0
precision,0.14285714285714285,0.15384615384615385,0.15,0.14835164835164835,0.14972527472527472
recall,0.16666666666666666,0.2,0.1875,0.18333333333333332,0.1875
f1-score,0.15384615384615385,0.17391304347826084,0.16666666666666666,0.16387959866220736,0.16638795986622076
support,6.0,10.0,16.0,16.0,16.0
precision,0.2727272727272727,0.2631578947368421,0.26666666666666666,0.26794258373205737,0.26674641148325356
recall,0.5,0.5,0.5,0.5,0.5
f1-score,0.3529411764705882,0.3448275862068966,0.3478260869565218,0.3488843813387424,0.34787018255578095
support,6.0,10.0,16.0,16.0,16.0
