,negative,positive,micro avg,macro avg,weighted avg
precision,0.2,0.043478260869565216,0.07142857142857142,0.1217391304347826,0.10217391304347828
recall,0.16666666666666666,0.1,0.125,0.13333333333333333,0.125
f1-score,0.1818181818181818,0.060606060606060615,0.09090909090909093,0.1212121212121212,0.10606060606060604
support,6.0,10.0,16.0,16.0,16.0
precision,1.0,0.13333333333333333,0.2352941176470588,0.5666666666666667,0.4583333333333333
recall,0.3333333333333333,0.2,0.25,0.26666666666666666,0.25
f1-score,0.5,0.16,0.2424242424242425,0.33,0.2875
support,6.0,10.0,16.0,16.0,16.0
precision,0.2,0.07692307692307693,0.1111111111111111,0.13846153846153847,0.12307692307692307
recall,0.16666666666666666,0.1,0.125,0.13333333333333333,0.125
f1-score,0.1818181818181818,0.08695652173913042,0.1176470588235294,0.13438735177865613,0.12252964426877468
support,6.0,10.0,16.0,16.0,16.0
precision,0.375,0.13333333333333333,0.21739130434782608,0.25416666666666665,0.2239583333333333
recall,0.5,0.2,0.3125,0.35,0.3125
f1-score,0.42857142857142855,0.16,0.2564102564102564,0.29428571428571426,0.2607142857142857
support,6.0,10.0,16.0,16.0,16.0
precision,0.2857142857142857,0.14285714285714285,0.19047619047619047,0.21428571428571427,0.1964285714285714
recall,0.3333333333333333,0.2,0.25,0.26666666666666666,0.25
f1-score,0.30769230769230765,0.16666666666666666,0.2162162162162162,0.23717948717948717,0.21955128205128202
support,6.0,10.0,16.0,16.0,16.0
