,negative,positive,micro avg,macro avg,weighted avg
precision,0.0,0.047619047619047616,0.03508771929824561,0.023809523809523808,0.029761904761904764
recall,0.0,0.2,0.125,0.1,0.125
f1-score,0.0,0.07692307692307693,0.0547945205479452,0.038461538461538464,0.04807692307692308
support,6.0,10.0,16.0,16.0,16.0
precision,0.14285714285714285,0.08695652173913042,0.10810810810810813,0.11490683229813665,0.10791925465838507
recall,0.3333333333333333,0.2,0.25,0.26666666666666666,0.25
f1-score,0.2,0.12121212121212124,0.1509433962264151,0.1606060606060606,0.15075757575757576
support,6.0,10.0,16.0,16.0,16.0
precision,0.0,0.04,0.023809523809523808,0.02,0.025
recall,0.0,0.1,0.0625,0.05,0.0625
f1-score,0.0,0.057142857142857134,0.03448275862068965,0.028571428571428567,0.03571428571428571
support,6.0,10.0,16.0,16.0,16.0
precision,0.07142857142857142,0.0,0.02564102564102564,0.03571428571428571,0.026785714285714284
recall,0.16666666666666666,0.0,0.0625,0.08333333333333333,0.0625
f1-score,0.1,0.0,0.03636363636363637,0.05,0.037500000000000006
support,6.0,10.0,16.0,16.0,16.0
precision,0.09090909090909091,0.075,0.08064516129032258,0.08295454545454545,0.08096590909090909
recall,0.3333333333333333,0.3,0.3125,0.31666666666666665,0.3125
f1-score,0.14285714285714288,0.12,0.1282051282051282,0.13142857142857145,0.12857142857142856
support,6.0,10.0,16.0,16.0,16.0
