,acerolas,apples,apricots,avocados,bananas,blackberries,blueberries,cantaloupes,cherries,coconuts,figs,grapefruits,grapes,guava,kiwifruit,lemons,limes,mangos,olives,oranges,passionfruit,peaches,pears,pineapples,plums,pomegranates,raspberries,strawberries,tomatoes,watermelons,accuracy,macro avg,weighted avg
precision,0.2307692307692308,0.0,0.2857142857142857,0.2222222222222222,0.2,0.1724137931034483,0.8333333333333334,0.3333333333333333,0.25,0.5,0.0,0.16666666666666666,0.0,0.125,0.16666666666666666,0.0,0.25,0.047619047619047616,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.25,0.0,0.13991769547325106,0.15779128598094114,0.15500943170164114
recall,0.5,0.0,0.2857142857142857,0.3333333333333333,0.09090909090909093,0.5555555555555556,0.625,0.125,0.25,0.3333333333333333,0.0,0.25,0.0,0.125,0.1111111111111111,0.0,0.14285714285714285,0.125,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.08333333333333333,0.0,0.13991769547325106,0.14919432419432418,0.13991769547325106
f1-score,0.3157894736842105,0.0,0.2857142857142857,0.26666666666666666,0.12500000000000006,0.2631578947368421,0.7142857142857143,0.18181818181818185,0.25,0.4,0.0,0.2,0.0,0.125,0.13333333333333333,0.0,0.18181818181818185,0.06896551724137931,0.0,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.2727272727272728,0.0,0.0,0.125,0.0,0.13991769547325106,0.13636982346147505,0.1295345474060941
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,6.0,9.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,12.0,12.0,8.0,0.13991769547325106,243.0,243.0
precision,0.16666666666666666,0.0,0.0,0.0,0.5,0.5,0.8,0.16666666666666666,0.0,0.25,0.0,0.25,0.06818181818181818,0.0,0.2857142857142857,0.2,0.0,0.5,0.16666666666666666,0.6,0.0,0.0,0.0,0.0,0.14285714285714285,0.0847457627118644,0.2352941176470588,0.0,0.2222222222222222,0.16666666666666666,0.15637860082304528,0.17685606720003533,0.18878847220119704
recall,0.16666666666666666,0.0,0.0,0.0,0.09090909090909093,0.3333333333333333,0.5,0.125,0.0,0.16666666666666666,0.0,0.125,0.3,0.0,0.2222222222222222,0.14285714285714285,0.0,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.125,0.7142857142857143,0.4,0.0,0.3333333333333333,0.125,0.15637860082304528,0.1493795093795094,0.15637860082304528
f1-score,0.16666666666666666,0.0,0.0,0.0,0.15384615384615385,0.4,0.6153846153846154,0.14285714285714288,0.0,0.2,0.0,0.16666666666666666,0.11111111111111108,0.0,0.25,0.16666666666666666,0.0,0.1818181818181818,0.16666666666666666,0.42857142857142855,0.0,0.0,0.0,0.0,0.13333333333333333,0.15151515151515152,0.29629629629629634,0.0,0.26666666666666666,0.14285714285714288,0.15637860082304528,0.1380307963641297,0.14545659339898026
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.15637860082304528,243.0,243.0
precision,0.3,0.16666666666666666,0.25,0.4,0.0,0.375,0.7142857142857143,0.09090909090909093,0.0,0.6666666666666666,0.0,0.16666666666666666,0.0,0.125,0.4166666666666667,0.0,0.2857142857142857,0.1,0.0,0.4,0.0,0.4,0.0,0.0,0.16666666666666666,0.1875,0.2857142857142857,0.25,0.08333333333333333,0.07407407407407407,0.1934156378600823,0.19682880391213725,0.1930540215005236
recall,0.5,0.1,0.42857142857142855,0.3333333333333333,0.0,0.3333333333333333,0.625,0.125,0.0,0.3333333333333333,0.0,0.125,0.0,0.125,0.5555555555555556,0.0,0.2857142857142857,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2857142857142857,0.0,0.0,0.125,0.42857142857142855,0.2,0.25,0.08333333333333333,0.25,0.1934156378600823,0.19789682539682546,0.1934156378600823
