,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,accuracy,macro avg,weighted avg
f1-score,0.6,0.6923076923076923,0.5,0.3157894736842105,0.6666666666666667,0.7000000000000001,0.9411764705882353,0.823529411764706,0.8571428571428571,0.25,0.25,0.625,0.33333333333333326,0.35294117647058826,0.5263157894736842,0.6666666666666666,0.75,0.5714285714285715,0.3636363636363636,0.75,0.25000000000000006,0.6153846153846153,0.6666666666666666,0.8,0.4615384615384615,0.5714285714285714,0.5555555555555556,0.6666666666666666,0.3428571428571428,0.3333333333333333,0.5679012345679012,0.5599788495531528,0.563953100598363
precision,0.5,0.9,0.42857142857142855,0.5,0.7272727272727273,0.7777777777777778,1.0,0.875,0.75,0.16666666666666666,0.16666666666666666,0.625,0.3,0.375,0.5555555555555556,0.5714285714285714,0.8571428571428571,0.5,0.3333333333333333,0.6666666666666666,0.4,0.5714285714285714,0.5,0.6666666666666666,0.375,0.5714285714285714,0.5,0.6666666666666666,0.5,0.25,0.5679012345679012,0.5525757575757576,0.5989033485947066
recall,0.75,0.5625,0.6,0.23076923076923078,0.6153846153846154,0.6363636363636364,0.8888888888888888,0.7777777777777778,1.0,0.5,0.5,0.625,0.375,0.3333333333333333,0.5,0.8,0.6666666666666666,0.6666666666666666,0.4,0.8571428571428571,0.18181818181818182,0.6666666666666666,1.0,1.0,0.6,0.5714285714285714,0.625,0.6666666666666666,0.2608695652173913,0.5,0.5679012345679012,0.611931444159705,0.5679012345679012
support,4.0,16.0,5.0,13.0,13.0,11.0,9.0,9.0,6.0,2.0,2.0,8.0,8.0,9.0,10.0,5.0,9.0,6.0,5.0,7.0,11.0,6.0,4.0,6.0,5.0,7.0,8.0,12.0,23.0,4.0,0.5679012345679012,243.0,243.0
