,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,accuracy,macro avg,weighted avg
f1-score,0.09230769230769231,0.0,0.18181818181818182,0.25,0.28571428571428575,0.0,0.16666666666666666,0.0,0.07407407407407407,0.0,0.16666666666666666,0.2,0.28571428571428575,0.2,0.11764705882352941,0.0,0.25,0.2222222222222222,0.2857142857142857,0.3636363636363636,0.33333333333333337,0.0,0.3076923076923077,0.15384615384615383,0.18181818181818182,0.0,0.125,0.2857142857142857,0.13333333333333333,0.0,0.13168724279835392,0.15543064596986167,0.10587633315786305
precision,0.5,0.0,0.14285714285714285,0.16666666666666666,0.18181818181818182,0.0,0.125,0.0,0.5,0.0,0.16666666666666666,0.125,0.2,0.125,0.1111111111111111,0.0,0.14285714285714285,0.125,0.16666666666666666,0.2222222222222222,0.2,0.0,0.25,0.1111111111111111,0.125,0.0,0.1,0.16666666666666666,0.08333333333333333,0.0,0.13168724279835392,0.13456589706589706,0.3661351908265488
recall,0.05084745762711865,0.0,0.25,0.5,0.6666666666666666,0.0,0.25,0.0,0.04,0.0,0.16666666666666666,0.5,0.5,0.5,0.125,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4,0.25,0.3333333333333333,0.0,0.16666666666666666,1.0,0.3333333333333333,0.0,0.13168724279835392,0.36775047080979284,0.13168724279835392
support,59.0,3.0,4.0,2.0,3.0,3.0,4.0,1.0,100.0,4.0,6.0,2.0,4.0,2.0,8.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,4.0,3.0,2.0,6.0,2.0,3.0,2.0,0.13168724279835392,243.0,243.0
