,0,1,accuracy,macro avg,weighted avg
f1-score,0.7463768115942029,0.7904191616766466,0.7704918032786885,0.7683979866354247,0.7686145883571417
precision,0.824,0.7333333333333333,0.7704918032786885,0.7786666666666666,0.7782207650273223
recall,0.6821192052980133,0.8571428571428571,0.7704918032786885,0.7696310312204352,0.7704918032786885
support,151.0,154.0,0.7704918032786885,305.0,305.0
