,0,1,accuracy,macro avg,weighted avg
f1-score,0.992,0.9944444444444445,0.9934426229508196,0.9932222222222222,0.9934426229508196
precision,0.992,0.9944444444444445,0.9934426229508196,0.9932222222222222,0.9934426229508196
recall,0.992,0.9944444444444445,0.9934426229508196,0.9932222222222222,0.9934426229508196
support,125.0,180.0,0.9934426229508196,305.0,305.0
