,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,accuracy,macro avg,weighted avg
f1-score,0.6153846153846153,0.8235294117647058,0.7999999999999999,0.7272727272727272,0.7368421052631579,0.8421052631578948,0.9333333333333333,0.888888888888889,0.823529411764706,0.8333333333333334,0.6666666666666666,0.875,0.7777777777777777,0.875,0.631578947368421,0.8333333333333333,0.7142857142857143,0.7692307692307693,0.7272727272727272,0.8750000000000001,1.0,0.75,0.625,0.6206896551724138,0.9411764705882353,0.8750000000000001,0.7777777777777777,0.9600000000000001,0.8571428571428571,0.9333333333333333,0.8024691358024691,0.8036495040037798,0.7984771879912426
precision,0.6666666666666666,0.7,0.8571428571428571,0.6666666666666666,0.6363636363636364,0.8888888888888888,0.875,1.0,0.875,0.8333333333333334,0.6666666666666666,0.875,0.7,0.875,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.625,0.6666666666666666,0.7777777777777778,1.0,0.8571428571428571,0.625,1.0,1.0,1.0,0.7,1.0,0.75,0.875,0.8024691358024691,0.8029184704184704,0.8257905331979406
recall,0.5714285714285714,1.0,0.75,0.8,0.875,0.8,1.0,0.8,0.7777777777777778,0.8333333333333334,0.6666666666666666,0.875,0.875,0.875,0.6,1.0,0.7142857142857143,1.0,0.8,1.0,1.0,0.6666666666666666,0.625,0.45,0.8888888888888888,0.7777777777777778,0.875,0.9230769230769231,1.0,1.0,0.8024691358024691,0.8273300773300775,0.8024691358024691
support,7.0,7.0,8.0,5.0,8.0,10.0,7.0,10.0,9.0,6.0,6.0,8.0,8.0,8.0,10.0,5.0,7.0,5.0,5.0,7.0,5.0,9.0,8.0,20.0,9.0,9.0,8.0,13.0,9.0,7.0,0.8024691358024691,243.0,243.0
