,0,1,accuracy,macro avg,weighted avg
f1-score,0.9554655870445343,0.9468599033816426,0.9515418502202643,0.9511627452130884,0.9514849844691879
precision,0.944,0.9607843137254902,0.9515418502202643,0.9523921568627451,0.9517636693443897
recall,0.9672131147540983,0.9333333333333333,0.9515418502202643,0.9502732240437158,0.9515418502202643
support,122.0,105.0,0.9515418502202643,227.0,227.0
