,0,1,accuracy,macro avg,weighted avg
f1-score,0.6253229974160206,0.34977578475336324,0.5245901639344263,0.4875493910846919,0.5864753575980066
precision,0.968,0.21666666666666667,0.5245901639344263,0.5923333333333334,0.8620743169398907
recall,0.4618320610687023,0.9069767441860465,0.5245901639344263,0.6844044026273743,0.5245901639344263
support,262.0,43.0,0.5245901639344263,305.0,305.0
