,0,1,accuracy,macro avg,weighted avg
f1-score,0.641025641025641,0.7765957446808511,0.7245901639344262,0.708810692853246,0.728146101079481
precision,0.6,0.8111111111111111,0.7245901639344262,0.7055555555555555,0.735664845173042
recall,0.6880733944954128,0.7448979591836735,0.7245901639344262,0.7164856768395431,0.7245901639344262
support,109.0,196.0,0.7245901639344262,305.0,305.0
