,0,1,accuracy,macro avg,weighted avg
f1-score,0.6632124352331606,0.7509578544061303,0.7136563876651982,0.7070851448196455,0.7246728830239191
precision,0.512,0.9607843137254902,0.7136563876651982,0.7363921568627452,0.8263467219486914
recall,0.9411764705882353,0.6163522012578616,0.7136563876651982,0.7787643359230485,0.7136563876651982
support,68.0,159.0,0.7136563876651982,227.0,227.0
