,0,1,accuracy,macro avg,weighted avg
f1-score,0.7338129496402878,0.5795454545454546,0.6740088105726872,0.6566792020928711,0.683523105424351
precision,0.816,0.5,0.6740088105726872,0.6579999999999999,0.7129867841409693
recall,0.6666666666666666,0.6891891891891891,0.6740088105726872,0.6779279279279279,0.6740088105726872
support,153.0,74.0,0.6740088105726872,227.0,227.0
